Date,FFRateMomChg,CPIMOM,GoldRtnMoM
31-07-2006,0,0.5,0.029545455
30-06-2006,0.25,0.2,-0.041245136
31-05-2006,0.25,0.3,-0.018334607
30-04-2006,0,0.5,0.12495703
31-03-2006,0.25,0.2,0.031743217
28-02-2006,0,0.1,-0.012088297
31-01-2006,0.25,0.6,0.100019272
31-12-2005,0.25,0,0.049130611
30-11-2005,0.25,-0.5,0.059327479
31-10-2005,0,0.2,-0.004477612
30-09-2005,0.25,1.4,0.077913123
31-08-2005,0.25,0.6,0.012095836
31-07-2005,0,0.6,-0.016472203
30-06-2005,0.25,0.1,0.049963968
31-05-2005,0.25,-0.1,-0.045402431
30-04-2005,0,0.3,0.017261488
31-03-2005,0.25,0.4,-0.020338208
28-02-2005,0.25,0.4,0.037458511
31-01-2005,0,-0.1,-0.037864964
31-12-2004,0.25,0,-0.02858409
30-11-2004,0.25,0.5,0.051001397
31-10-2004,0,0.5,0.02555529
30-09-2004,0.25,0.3,0.018982721
31-08-2004,0.25,0.1,0.050895141
31-07-2004,0,0.1,-0.005089059
30-06-2004,0.25,0.4,-0.002538071
31-05-2004,0,0.4,0.016774194
30-04-2004,0,0.2,-0.093142991
31-03-2004,0,0.2,0.076864919
29-02-2004,0,0.2,-0.013426156
31-01-2004,0,0.4,-0.033405431
31-12-2003,0,0.3,0.048639113
30-11-2003,0,0.1,0.031721269
31-10-2003,0,-0.1,-0.002075765
30-09-2003,0,0.3,0.025545503
31-08-2003,0,0.4,0.061581921
31-07-2003,0,0.3,0.022235056
30-06-2003,-0.25,0.1,-0.049931413
31-05-2003,0,-0.2,0.073954037
30-04-2003,0,-0.4,0.010419768
31-03-2003,0,0.2,-0.041107622
28-02-2003,0,0.5,-0.048873201
31-01-2003,0,0.4,0.057725445
31-12-2002,0,0.2,0.099116162
30-11-2002,-0.5,0.2,-0.005025126
31-10-2002,0,0.2,-0.01698055
30-09-2002,0,0.2,0.035485934
31-08-2002,0,0.3,0.031662269
31-07-2002,0,0.2,-0.034087289
30-06-2002,0,0.1,-0.038591118
31-05-2002,0,0.1,0.055950841
30-04-2002,0,0.4,0.021810972
31-03-2002,0,0.3,0.018512285
28-02-2002,0,0.2,0.053172634
31-01-2002,0,0.2,0.011111111
31-12-2001,-0.25,-0.1,0.018619934
30-11-2001,-0.5,-0.1,-0.023529412
31-10-2001,-0.5,-0.3,-0.040697674
30-09-2001,-0.5,0.4,0.062886223
31-08-2001,-0.25,0,0.033433509
31-07-2001,0,-0.2,-0.018798378
30-06-2001,-0.25,0.2,0.022615907
31-05-2001,-0.5,0.5,0.003403933
30-04-2001,-0.5,0.2,0.025203567
31-03-2001,-0.5,0.1,-0.036967886
28-02-2001,0,0.2,0.008283133
31-01-2001,-1,0.6,-0.029239766
31-12-2000,0,0.2,0.012958164
30-11-2000,0,0.2,0.013888889
31-10-2000,0,0.2,-0.026315789
30-09-2000,0,0.5,-0.021459227
31-08-2000,0,0,0.010115607
31-07-2000,0,0.3,-0.050428816
30-06-2000,0,0.6,0.072874494
31-05-2000,0.5,0.2,-0.010921005
30-04-2000,0,-0.1,-0.01329023
31-03-2000,0.25,0.6,-0.053704963
29-02-2000,0.25,0.4,0.038841808
31-01-2000,0,0.3,-0.022099448
31-12-1999,0,0.2,-0.001723544
30-11-1999,0.25,0.2,-0.033966034
31-10-1999,0,0.2,0.008056395
30-09-1999,0,0.4,0.160498637
31-08-1999,0.25,0.2,-0.000778513
31-07-1999,0,0.4,-0.025417299
30-06-1999,0.25,0,-0.025147929
31-05-1999,0,0.1,-0.060458652
30-04-1999,0,0.7,0.028591851
31-03-1999,0,0.1,-0.029483177
28-02-1999,0,0,0.006985679
31-01-1999,0,0.2,-0.010027663
31-12-1998,0,0.2,-0.011282051
30-11-1998,-0.25,0.1,-0.004085802
31-10-1998,-0.25,0.2,-0.009109312
30-09-1998,-0.25,0.1,0.071971067
31-08-1998,0,0.1,-0.034229829
31-07-1998,0,0.2,-0.039584032
30-06-1998,0,0.1,0.019842627
31-05-1998,0,0.2,-0.050665801
30-04-1998,0,0.1,0.024625624
31-03-1998,0,0,0.001332889
28-02-1998,0,0,-0.009243975
31-01-1998,0,0.1,0.044843049
31-12-1997,0,0.1,-0.023576962
30-11-1997,0,0.1,-0.048702339
31-10-1997,0,0.2,-0.066407418
30-09-1997,0,0.2,0.02703533
31-08-1997,0,0.2,0.004319654
31-07-1997,0,0.1,-0.033402923
30-06-1997,0,0.2,-0.027552204
31-05-1997,0,0,0.010550996
30-04-1997,0,0.1,-0.027920228
31-03-1997,0.25,0.1,-0.038619556
28-02-1997,0,0.2,0.058567701
31-01-1997,0,0.2,-0.065817985
31-12-1996,0,0.3,-0.010187668
30-11-1996,0,0.3,-0.016090741
31-10-1996,0,0.3,0.003706645
30-09-1996,0,0.3,-0.027298481
31-08-1996,0,0.1,0.002064516
31-07-1996,0,0.2,0.015461216
30-06-1996,0,0.2,-0.023791251
31-05-1996,0,0.2,-0.00660737
30-04-1996,0,0.4,-0.005811016
31-03-1996,0,0.3,-0.013459621
29-02-1996,0,0.2,-0.010848126
31-01-1996,-0.25,0.5,0.045091471
31-12-1995,-0.25,0.1,0.00232438
30-11-1995,0,0.1,0.007546188
31-10-1995,0,0.3,0.001302762
30-09-1995,0,0.1,-0.001041124
31-08-1995,0,0.2,0.004969919
31-07-1995,-0.25,0.1,-0.008558091
30-06-1995,0,0.2,0.001298364
31-05-1995,0,0.2,-0.008751609
30-04-1995,0,0.4,-0.009433962
31-03-1995,0,0.2,0.036743325
28-02-1995,0.5,0.3,0.007725093
31-01-1995,0,0.3,-0.023413111
31-12-1994,0,0.2,0.009718939
30-11-1994,0.75,0.3,-0.010911925
31-10-1994,0,0.1,-0.023592085
30-09-1994,0,0.2,0.016503352
31-08-1994,0.5,0.4,0.012532637
31-07-1994,0,0.3,-0.011102505
30-06-1994,0,0.3,0.000516662
31-05-1994,0.5,0.2,0.024616199
30-04-1994,0.25,0.1,-0.035732517
31-03-1994,0.25,0.3,0.024313725
28-02-1994,0.25,0.3,0.002358491
31-01-1994,0,0,-0.026282215
31-12-1993,0,0.2,0.059762034
30-11-1993,0,0.3,0.000541126
31-10-1993,0,0.4,0.040833568
30-09-1993,0,0.1,-0.050280824
31-08-1993,0,0.2,-0.081326781
31-07-1993,0,0.1,0.073312236
30-06-1993,0,0.1,0.002379064
31-05-1993,0,0.3,0.059070549
30-04-1993,0,0.3,0.058056872
31-03-1993,0,0.1,0.026139818
28-02-1993,0,0.2,-0.003634161
31-01-1993,0,0.4,-0.008706094
31-12-1992,0,0.1,-0.00358959
30-11-1992,0,0.3,-0.017053808
31-10-1992,0,0.4,-0.02213916
30-09-1992,-0.25,0.2,0.012223516
31-08-1992,0,0.2,-0.038612199
31-07-1992,-0.5,0.3,0.037746806
30-06-1992,0,0.3,0.023781213
31-05-1992,0,0.2,-0.004439183
30-04-1992,-0.25,0.2,-0.016875182
31-03-1992,0,0.4,-0.029370234
29-02-1992,0,0.2,-0.008123249
31-01-1992,0,0.1,0.005067568
31-12-1991,-0.75,0.3,-0.03452025
30-11-1991,-0.25,0.4,0.023365786
31-10-1991,-0.25,0.1,0.015536723
30-09-1991,-0.25,0.3,0.012585812
31-08-1991,-0.25,0.3,-0.03850385
31-07-1991,0,0.1,-0.017297297
30-06-1991,0,0.3,0.023796348
31-05-1991,0,0.4,0.010343864
30-04-1991,-0.25,0.2,0.001680202
31-03-1991,-0.25,0,-0.032249322
28-02-1991,-0.5,0.1,0.00874795
31-01-1991,-0.25,0.4,-0.076728925
31-12-1990,-0.5,0.4,0.0336551
30-11-1990,-0.25,0.2,0.005245214
31-10-1990,-0.25,0.7,-0.052670807
30-09-1990,0,0.7,0.046541862
31-08-1990,0,0.8,0.039459459
31-07-1990,-0.25,0.5,0.028063351
30-06-1990,0,0.6,-0.012077958
31-05-1990,0,0.2,-0.019116855
30-04-1990,0,0.2,0.003241491
31-03-1990,0,0.5,-0.094644167
28-02-1990,0,0.4,-0.008486906
31-01-1990,0,1,0.017769003
31-12-1989,-0.25,0.3,-0.015549077
30-11-1989,0,0.4,0.090042373
31-10-1989,-0.5,0.5,0.02832244
30-09-1989,0,0.2,0.015205972
31-08-1989,0,0,-0.023751687
31-07-1989,-0.63,0.3,-0.018022794
30-06-1989,-0.12,0.3,0.038535645
31-05-1989,0,0.5,-0.045203679
30-04-1989,0,0.7,-0.011944949
31-03-1989,0,0.5,-0.01357582
28-02-1989,1,0.3,-0.003064351
31-01-1989,0,0.4,-0.050206161
31-12-1988,0.37,0.3,-0.029425612
30-11-1988,0.13,0.3,0.023367863
31-10-1988,0,0.3,0.052484787
30-09-1988,0,0.4,-0.091453582
31-08-1988,0.5,0.4,-0.004586104
31-07-1988,0.25,0.4,-0.003655472
30-06-1988,0.25,0.4,-0.038021978
31-05-1988,0.5,0.3,0.005302696
30-04-1988,0,0.6,-0.003961268
31-03-1988,0.25,0.3,0.052095392
29-02-1988,-0.13,0.2,-0.049097314
31-01-1988,-0.25,0.3,-0.07097566
31-12-1987,0,0.2,-0.004276986
30-11-1987,0,0.3,0.042020374
31-10-1987,-0.37,0.3,0.040865916
30-09-1987,0.5,0.3,-0.001103266
31-08-1987,0,0.4,-0.023486318
31-07-1987,0,0.3,0.026315789
30-06-1987,0,0.4,0.00444247
31-05-1987,0.25,0.3,-0.013800657
30-04-1987,0.5,0.4,0.092105263
31-03-1987,0,0.4,0.026018655
28-02-1987,0,0.4,0.00567761
31-01-1987,0,0.5,-0.004668305
31-12-1986,0.12,0.4,0.041187004
30-11-1986,0,0.2,-0.036004932
31-10-1986,0,0.2,-0.047451257
30-09-1986,0,0.4,0.092939666
31-08-1986,-0.5,0.1,0.073890267
31-07-1986,-0.5,0.1,0.043140638
