,S&P 500,MSCI ACWI,MSCI EM
Ticker,^GSPC,ACWI,EEM
Date,,,
2017-06-30,2423.409912109375,65.48999786376953,41.38999938964844
2017-07-31,2470.300048828125,67.27999877929688,43.79999923706055
2017-08-31,2471.64990234375,67.55000305175781,44.83000183105469
2017-09-30,2519.360107421875,68.81999969482422,44.810001373291016
2017-10-31,2575.260009765625,70.30000305175781,46.279998779296875
2017-11-30,2647.580078125,71.72000122070312,46.099998474121094
2017-12-31,2673.610107421875,72.08999633789062,47.119998931884766
2018-01-31,2823.81005859375,76.19999694824219,51.029998779296875
2018-02-28,2713.830078125,72.79000091552734,48.02000045776367
2018-03-31,2640.8701171875,71.69999694824219,48.279998779296875
2018-04-30,2648.050048828125,71.98999786376953,46.91999816894531
2018-05-31,2705.27001953125,72.33000183105469,45.689998626708984
2018-06-30,2718.3701171875,71.12000274658203,43.33000183105469
2018-07-31,2816.2900390625,73.30000305175781,44.86000061035156
2018-08-31,2901.52001953125,73.80999755859375,43.16999816894531
2018-09-30,2913.97998046875,74.26000213623047,42.91999816894531
2018-10-31,2711.739990234375,68.73999786376953,39.15999984741211
2018-11-30,2760.169921875,69.83000183105469,41.08000183105469
2018-12-31,2506.85009765625,64.16000366210938,39.060001373291016
2019-01-31,2704.10009765625,69.31999969482422,43.099998474121094
2019-02-28,2784.489990234375,71.02999877929688,42.439998626708984
2019-03-31,2834.39990234375,72.1500015258789,42.91999816894531
2019-04-30,2945.830078125,74.62000274658203,43.93000030517578
2019-05-31,2752.06005859375,70.08999633789062,40.709999084472656
2019-06-30,2941.760009765625,73.70999908447266,42.90999984741211
2019-07-31,2980.3798828125,73.76000213623047,41.77000045776367
2019-08-31,2926.4599609375,72.12999725341797,40.189998626708984
2019-09-30,2976.739990234375,73.75,40.869998931884766
2019-10-31,3037.56005859375,75.7699966430664,42.58000183105469
2019-11-30,3140.97998046875,77.54000091552734,42.540000915527344
2019-12-31,3230.780029296875,79.25,44.869998931884766
2020-01-31,3225.52001953125,78.11000061035156,42.11000061035156
2020-02-29,2954.219970703125,72.26000213623047,40.52000045776367
2020-03-31,2584.590087890625,62.56999969482422,34.130001068115234
2020-04-30,2912.429931640625,68.72000122070312,36.63999938964844
2020-05-31,3044.31005859375,72.22000122070312,37.72999954223633
2020-06-30,3100.2900390625,73.72000122070312,39.9900016784668
2020-07-31,3271.1201171875,77.66999816894531,43.290000915527344
2020-08-31,3500.31005859375,82.3499984741211,44.540000915527344
2020-09-30,3363.0,79.91999816894531,44.09000015258789
2020-10-31,3269.9599609375,78.13999938964844,44.709999084472656
2020-11-30,3621.6298828125,87.33000183105469,48.72999954223633
2020-12-31,3756.070068359375,90.72000122070312,51.66999816894531
2021-01-31,3714.239990234375,90.44000244140625,53.310001373291016
2021-02-28,3811.14990234375,92.51000213623047,53.72999954223633
2021-03-31,3972.889892578125,95.1500015258789,53.34000015258789
2021-04-30,4181.169921875,99.19000244140625,53.97999954223633
2021-05-31,4204.10986328125,100.6500015258789,54.869998931884766
2021-06-30,4297.5,101.19000244140625,55.150001525878906
2021-07-31,4395.259765625,102.11000061035156,51.599998474121094
2021-08-31,4522.68017578125,104.33000183105469,52.40999984741211
2021-09-30,4307.5400390625,99.91999816894531,50.380001068115234
2021-10-31,4605.3798828125,105.30999755859375,50.91999816894531
2021-11-30,4567.0,102.87999725341797,48.84000015258789
2021-12-31,4766.18017578125,105.77999877929688,48.849998474121094
2022-01-31,4515.5498046875,100.97000122070312,48.84000015258789
2022-02-28,4373.93994140625,97.87999725341797,46.72999954223633
2022-03-31,4530.41015625,99.77999877929688,45.150001525878906
2022-04-30,4131.93017578125,91.7300033569336,42.380001068115234
2022-05-31,4132.14990234375,92.13999938964844,42.63999938964844
2022-06-30,3785.3798828125,83.88999938964844,40.099998474121094
2022-07-31,4130.2900390625,89.81999969482422,39.959999084472656
2022-08-31,3955.0,85.9000015258789,39.43000030517578
2022-09-30,3585.6201171875,77.83000183105469,34.880001068115234
2022-10-31,3871.97998046875,82.7699966430664,34.189998626708984
2022-11-30,4080.110107421875,89.66999816894531,39.52000045776367
2022-12-31,3839.5,84.87999725341797,37.900001525878906
2023-01-31,4076.60009765625,91.25,41.36000061035156
2023-02-28,3970.14990234375,88.22000122070312,38.22999954223633
2023-03-31,4109.31005859375,91.16000366210938,39.459999084472656
2023-04-30,4169.47998046875,92.58999633789062,39.130001068115234
2023-05-31,4179.830078125,91.62000274658203,38.189998626708984
2023-06-30,4450.3798828125,95.94000244140625,39.560001373291016
2023-07-31,4588.9599609375,99.38999938964844,41.95000076293945
2023-08-31,4507.66015625,96.5,39.16999816894531
2023-09-30,4288.0498046875,92.37000274658203,37.95000076293945
2023-10-31,4193.7998046875,90.0199966430664,36.70000076293945
2023-11-30,4567.7998046875,98.0199966430664,39.560001373291016
2023-12-31,4769.830078125,101.7699966430664,40.209999084472656
2024-01-31,4845.64990234375,102.05000305175781,38.38999938964844
2024-02-29,5096.27001953125,106.6500015258789,39.9900016784668
2024-03-31,5254.35009765625,110.12999725341797,41.08000183105469
2024-04-30,5035.68994140625,106.22000122070312,40.9900016784668
2024-05-31,5277.509765625,111.08000183105469,41.790000915527344
2024-06-30,5460.47998046875,112.4000015258789,42.59000015258789
2024-07-31,5522.2998046875,114.12999725341797,42.95000076293945
2024-08-31,5648.39990234375,116.9800033569336,43.369998931884766
2024-09-30,5762.47998046875,119.55000305175781,45.86000061035156
2024-10-31,5705.4501953125,117.05000305175781,44.45000076293945
2024-11-30,6032.3798828125,121.7699966430664,43.2599983215332
